date,Blink(core),Webkit(core)
20130101,1,1
20130102,40,40
20130103,55,55
20130104,65,65
20130105,24,24
20130106,6,6
20130107,50,50
20130108,70,70
20130109,68,68
20130110,66,66
20130111,61,61
20130112,24,24
20130113,4,4
20130114,49,49
20130115,70,70
20130116,76,76
20130117,97,97
20130118,83,83
20130119,18,18
20130120,12,12
20130121,62,62
20130122,81,81
20130123,80,80
20130124,92,92
20130125,78,78
20130126,35,35
20130127,12,12
20130128,67,67
20130129,92,92
20130130,101,101
20130131,109,109
20130201,113,113
20130202,34,34
20130203,8,8
20130204,74,74
20130205,80,80
20130206,68,68
20130207,97,97
20130208,66,66
20130209,33,33
20130210,21,21
20130211,75,75
20130212,101,101
20130213,95,95
20130214,86,86
20130215,86,86
20130216,32,32
20130217,10,10
20130218,68,68
20130219,75,75
20130220,77,77
20130221,93,93
20130222,98,98
20130223,28,28
20130224,18,18
20130225,53,53
20130226,83,83
20130227,81,81
20130228,68,68
20130301,73,73
20130302,27,27
20130303,31,31
20130304,80,80
20130305,96,96
20130306,81,81
20130307,93,93
20130308,74,74
20130309,17,17
20130310,9,9
20130311,71,71
20130312,94,94
20130313,69,69
20130314,56,56
20130315,70,70
20130316,13,13
20130317,11,11
20130318,72,72
20130319,76,76
20130320,73,73
20130321,73,73
20130322,80,80
20130323,14,14
20130324,10,10
20130325,54,54
20130326,69,69
20130327,50,50
20130328,87,87
20130329,41,41
20130330,11,11
20130331,4,4
20130401,35,35
20130402,77,81
20130403,0,49
20130404,18,38
20130405,110,90
20130406,33,25
20130407,9,17
20130408,98,45
20130409,93,56
20130410,112,57
20130411,82,60
20130412,43,52
20130413,5,16
20130414,8,24
20130415,54,28
20130416,52,57
20130417,53,40
20130418,58,43
20130419,55,36
20130420,10,6
20130421,10,3
20130422,47,52
20130423,42,51
20130424,75,55
20130425,54,50
20130426,75,43
20130427,23,12
20130428,27,13
20130429,47,45
20130430,69,53
20130501,42,37
20130502,45,26
20130503,32,28
20130504,8,16
20130505,0,12
20130506,79,39
20130507,67,39
20130508,52,49
20130509,38,56
20130510,57,35
20130511,15,27
20130512,4,19
20130513,54,50
20130514,59,35
20130515,59,47
20130516,59,37
20130517,47,74
20130518,6,26
20130519,3,9
20130520,57,18
20130521,73,46
20130522,47,33
20130523,47,25
20130524,48,30
20130525,6,20
20130526,2,20
20130527,23,47
20130528,43,33
20130529,49,58
20130530,50,32
20130531,38,26
20130601,9,9
20130602,8,4
20130603,47,31
20130604,49,22
20130605,56,38
20130606,56,25
20130607,51,27
20130608,5,3
20130609,16,5
20130610,32,14
20130611,44,39
20130612,35,32
20130613,35,30
20130614,49,29
20130615,8,3
20130616,5,6
20130617,41,17
20130618,53,37
20130619,41,36
20130620,60,36
20130621,43,33
20130622,12,7
20130623,6,1
20130624,23,27
20130625,30,23
20130626,35,26
20130627,45,38
20130628,54,33
20130629,22,14
20130630,2,0
20130701,47,24
20130702,38,26
20130703,48,28
20130704,25,21
20130705,27,16
20130706,1,4
20130707,0,1
20130708,41,17
20130709,72,12
20130710,86,22
20130711,81,17
20130712,61,7
20130713,16,1
20130714,15,6
20130715,30,19
20130716,59,25
20130717,82,39
20130718,52,27
20130719,26,24
20130720,10,6
20130721,16,3
20130722,49,20
20130723,69,26
20130724,44,14
20130725,50,60
20130726,42,14
20130727,15,8
20130728,0,5
20130729,25,20
20130730,49,32
20130731,48,21
20130801,47,26
20130802,57,29
20130803,10,7
20130804,8,10
20130805,38,9
20130806,54,27
20130807,54,18
20130808,54,25
20130809,65,31
20130810,16,3
20130811,2,6
20130812,36,24
20130813,63,37
20130814,47,31
20130815,42,35
20130816,39,26
20130817,9,24
20130818,3,11
20130819,41,29
20130820,42,42
20130821,69,27
20130822,61,17
20130823,32,40
20130824,12,18
20130825,4,20
20130826,33,46
20130827,30,44
20130828,57,53
20130829,29,27
20130830,51,41
20130831,11,11
20130901,6,11
20130902,34,15
20130903,39,28
20130904,49,42
20130905,55,51
20130906,43,33
20130907,9,17
20130908,4,17
20130909,45,45
20130910,53,41
20130911,56,57
20130912,49,50
20130913,47,52
20130914,9,42
20130915,8,33
20130916,27,48
20130917,34,63
20130918,36,32
20130919,45,26
20130920,48,54
20130921,10,16
20130922,0,11
20130923,26,42
20130924,37,47
20130925,28,44
20130926,40,42
20130927,50,39
20130928,16,17
20130929,2,6
20130930,32,39
20131001,83,32
20131002,61,25
20131003,46,27
20131004,85,35
20131005,22,43
20131006,3,29
20131007,37,28
20131008,66,36
20131009,59,22
20131010,80,58
20131011,66,32
20131012,20,19
20131013,19,30
20131014,38,32
20131015,56,25
20131016,75,31
20131017,75,36
20131018,36,20
20131019,36,18
20131020,8,10
20131021,43,29
20131022,106,40
20131023,70,42
20131024,63,36
20131025,81,40
20131026,12,11
20131027,11,3
20131028,55,21
20131029,78,50
20131030,65,52
20131031,87,53
20131101,69,40
20131102,9,33
20131103,2,20
20131104,38,35
20131105,69,50
20131106,43,58
20131107,61,48
20131108,52,48
20131109,21,20
20131110,4,21
20131111,21,26
20131112,83,46
20131113,61,73
20131114,58,35
20131115,63,26
20131116,10,8
20131117,4,6
20131118,51,43
20131119,43,35
20131120,67,29
20131121,54,37
20131122,47,31
20131123,8,8
20131124,5,5
20131125,38,18
20131126,47,14
20131127,45,15
20131128,56,19
20131129,40,9
20131130,3,11
20131201,2,10
20131202,64,42
20131203,54,50
20131204,57,44
20131205,64,37
20131206,45,29
20131207,12,11
20131208,1,10
20131209,55,28
20131210,67,36
20131211,52,38
20131212,60,23
20131213,34,38
20131214,11,22
20131215,9,13
20131216,39,31
20131217,35,43
20131218,66,52
20131219,46,39
20131220,27,33
20131221,5,17
20131222,2,9
20131223,11,34
20131224,5,17
20131225,7,7
20131226,8,13
20131227,9,10
20131228,2,5
20131229,0,6
20131230,15,25
20131231,11,16
20140101,11,11
20140102,13,22
20140103,28,32
20140104,2,18
20140105,0,7
20140106,30,35
20140107,76,32
20140108,59,27
20140109,72,41
20140110,68,77
20140111,21,78
20140112,0,48
20140113,31,55
20140114,62,68
20140115,57,60
20140116,54,43
20140117,60,41
20140118,13,32
20140119,3,8
20140120,24,31
20140121,42,40
20140122,41,53
20140123,61,44
20140124,87,60
20140125,10,45
20140126,2,20
20140127,40,41
20140128,51,55
20140129,47,50
20140130,56,53
20140131,44,54
20140201,9,22
20140202,3,19
20140203,44,42
20140204,58,51
20140205,83,32
20140206,62,54
20140207,55,57
20140208,17,50
20140209,1,20
20140210,64,32
20140211,45,51
20140212,69,50
20140213,46,37
20140214,59,36
20140215,10,24
20140216,3,16
20140217,25,27
20140218,54,50
20140219,36,41
20140220,72,37
20140221,40,37
20140222,16,28
20140223,6,7
20140224,41,37
20140225,81,41
20140226,80,51
20140227,75,46
20140228,62,34
20140301,21,25
20140302,2,16
20140303,32,39
20140304,33,39
20140305,83,29
20140306,85,42
20140307,45,42
20140308,29,21
20140309,8,12
20140310,54,23
20140311,42,18
20140312,63,27
20140313,62,36
20140314,72,67
20140315,12,12
20140316,4,22
20140317,41,51
20140318,64,44
20140319,60,47
20140320,80,66
20140321,43,55
20140322,25,14
20140323,5,14
20140324,35,40
20140325,57,39
20140326,88,42
20140327,64,45
20140328,94,37
20140329,16,18
20140330,3,6
20140331,37,52
20140401,75,59
20140402,64,42
20140403,62,52
20140404,73,33
20140405,12,18
20140406,0,13
20140407,43,27
20140408,66,66
20140409,74,49
20140410,52,34
20140411,36,51
20140412,15,13
20140413,6,12
20140414,54,37
20140415,49,10
