date,Blink(core) - Google,Webkit(core) - Google,Blink(core) - Apple,Webkit(core) - Apple,Blink(core) - Samsung,Webkit(core) - Samsung,Blink(core) - Opera,Webkit(core) - Opera
20130101,1,1,0,0,0,0,0,0
20130102,15,15,12,12,1,1,0,0
20130103,27,27,14,14,1,1,0,0
20130104,34,34,11,11,0,0,0,0
20130105,9,9,11,11,0,0,0,0
20130106,2,2,2,2,0,0,0,0
20130107,17,17,19,19,0,0,0,0
20130108,26,26,29,29,3,3,0,0
20130109,36,36,17,17,2,2,0,0
20130110,32,32,12,12,3,3,0,0
20130111,39,39,7,7,4,4,0,0
20130112,12,12,7,7,0,0,0,0
20130113,3,3,1,1,0,0,0,0
20130114,30,30,7,7,1,1,0,0
20130115,32,32,19,19,2,2,0,0
20130116,38,38,22,22,4,4,0,0
20130117,45,45,29,29,2,2,0,0
20130118,42,42,15,15,3,3,0,0
20130119,3,3,9,9,2,2,0,0
20130120,3,3,4,4,0,0,0,0
20130121,30,30,7,7,4,4,0,0
20130122,40,40,15,15,4,4,0,0
20130123,37,37,30,30,1,1,0,0
20130124,37,37,31,31,2,2,0,0
20130125,30,30,25,25,3,3,0,0
20130126,13,13,17,17,2,2,0,0
20130127,3,3,7,7,1,1,0,0
20130128,27,27,17,17,3,3,0,0
20130129,41,41,27,27,4,4,0,0
20130130,44,44,34,34,1,1,0,0
20130131,48,48,36,36,3,3,0,0
20130201,56,56,33,33,1,1,0,0
20130202,7,7,19,19,2,2,0,0
20130203,4,4,3,3,0,0,0,0
20130204,31,31,32,32,3,3,0,0
20130205,36,36,21,21,5,5,0,0
20130206,30,30,22,22,0,0,0,0
20130207,48,48,21,21,2,2,0,0
20130208,37,37,15,15,2,2,0,0
20130209,14,14,15,15,0,0,0,0
20130210,5,5,8,8,2,2,0,0
20130211,34,34,28,28,2,2,0,0
20130212,39,39,31,31,7,7,0,0
20130213,35,35,37,37,7,7,1,1
20130214,42,42,21,21,3,3,0,0
20130215,34,34,26,26,5,5,0,0
20130216,7,7,19,19,2,2,0,0
20130217,0,0,8,8,2,2,0,0
20130218,26,26,18,18,10,10,0,0
20130219,31,31,26,26,3,3,1,1
20130220,37,37,23,23,2,2,0,0
20130221,36,36,27,27,2,2,0,0
20130222,41,41,31,31,2,2,0,0
20130223,14,14,8,8,2,2,0,0
20130224,8,8,7,7,0,0,0,0
20130225,21,21,21,21,2,2,0,0
20130226,40,40,24,24,1,1,0,0
20130227,38,38,17,17,1,1,0,0
20130228,26,26,24,24,1,1,0,0
20130301,22,22,27,27,4,4,0,0
20130302,6,6,14,14,1,1,0,0
20130303,13,13,15,15,0,0,0,0
20130304,39,39,26,26,2,2,0,0
20130305,52,52,29,29,3,3,0,0
20130306,36,36,18,18,4,4,0,0
20130307,46,46,28,28,4,4,0,0
20130308,19,19,28,28,1,1,0,0
20130309,3,3,10,10,0,0,0,0
20130310,1,1,6,6,0,0,0,0
20130311,29,29,26,26,1,1,1,1
20130312,45,45,16,16,1,1,0,0
20130313,31,31,20,20,2,2,0,0
20130314,24,24,14,14,1,1,0,0
20130315,31,31,20,20,2,2,0,0
20130316,7,7,3,3,0,0,0,0
20130317,4,4,3,3,1,1,0,0
20130318,38,38,18,18,1,1,0,0
20130319,39,39,22,22,1,1,0,0
20130320,33,33,20,20,5,5,0,0
20130321,36,36,21,21,2,2,0,0
20130322,35,35,20,20,0,0,0,0
20130323,1,1,12,12,0,0,0,0
20130324,4,4,3,3,1,1,0,0
20130325,32,32,10,10,3,3,0,0
20130326,27,27,18,18,4,4,0,0
20130327,19,19,25,25,0,0,0,0
20130328,38,38,22,22,8,8,0,0
20130329,20,20,12,12,1,1,0,0
20130330,3,3,5,5,2,2,0,0
20130331,3,3,1,1,0,0,0,0
20130401,18,18,12,12,2,2,0,0
20130402,42,44,15,16,1,1,1,1
20130403,0,8,0,21,0,5,0,1
20130404,18,3,0,14,0,8,0,0
20130405,110,0,0,57,0,5,0,0
20130406,33,0,0,21,0,1,0,0
20130407,9,0,0,16,0,0,0,0
20130408,98,1,0,23,0,2,0,0
20130409,93,0,0,32,0,5,0,0
20130410,112,1,0,39,0,3,0,0
20130411,81,0,0,31,0,5,0,1
20130412,43,1,0,33,0,0,0,0
20130413,5,0,0,12,0,0,0,0
20130414,8,0,0,21,0,2,0,0
20130415,54,0,0,12,0,6,0,1
20130416,52,0,0,44,0,2,0,0
20130417,53,0,0,22,0,2,0,0
20130418,54,0,0,23,2,4,0,0
20130419,48,3,0,21,2,1,0,0
20130420,7,0,0,1,3,1,0,0
20130421,7,0,0,2,3,0,0,0
20130422,40,0,0,29,1,1,0,0
20130423,39,0,0,32,0,3,0,0
20130424,68,3,0,29,0,6,0,0
20130425,49,3,0,29,3,3,0,0
20130426,62,0,0,27,6,2,0,0
20130427,20,0,0,10,1,0,0,0
20130428,23,0,0,11,4,2,0,0
20130429,44,1,0,34,0,2,0,0
20130430,64,0,0,35,1,4,0,0
20130501,38,0,0,26,0,3,0,0
20130502,40,0,0,18,0,3,0,0
20130503,30,0,0,19,0,2,0,0
20130504,8,0,0,13,0,1,0,0
20130505,0,0,0,9,0,2,0,0
20130506,69,0,0,22,1,0,0,0
20130507,60,0,0,27,2,2,1,0
20130508,42,0,0,33,2,3,0,0
20130509,32,1,0,25,3,6,0,0
20130510,55,0,0,19,0,1,0,0
20130511,10,1,0,16,4,6,0,0
20130512,2,0,0,16,0,0,0,0
20130513,51,0,0,37,0,3,0,0
20130514,54,0,0,18,2,1,0,0
20130515,47,1,0,34,1,2,3,0
20130516,54,0,0,30,0,2,1,0
20130517,41,0,0,43,2,11,0,0
20130518,6,0,0,20,0,2,0,0
20130519,2,0,0,8,1,0,0,0
20130520,53,0,0,10,0,0,0,0
20130521,64,0,0,28,0,0,0,0
20130522,42,0,0,23,0,3,0,0
20130523,45,0,0,14,0,6,0,0
20130524,42,0,0,18,1,3,0,0
20130525,6,0,0,13,0,4,0,0
20130526,2,1,0,18,0,0,0,0
20130527,17,0,0,18,2,4,0,0
20130528,38,1,0,18,0,3,0,0
20130529,45,5,0,31,0,3,0,0
20130530,46,1,0,22,0,3,0,0
20130531,35,1,0,17,1,0,0,0
20130601,9,0,0,7,0,1,0,0
20130602,8,0,0,3,0,0,0,0
20130603,43,0,0,12,0,3,0,0
20130604,46,1,0,13,1,6,0,0
20130605,49,0,0,10,2,5,3,0
20130606,51,0,0,8,0,3,1,0
20130607,47,0,0,11,1,7,0,0
20130608,4,0,0,1,0,0,0,0
20130609,13,0,0,3,0,1,0,0
20130610,28,0,0,4,1,1,1,0
20130611,35,0,0,26,4,9,1,0
20130612,30,0,0,10,2,4,2,0
20130613,31,0,0,13,1,8,0,1
20130614,42,1,0,15,3,3,1,0
20130615,7,0,0,2,1,1,0,0
20130616,5,0,0,6,0,0,0,0
20130617,35,1,0,4,5,4,0,0
20130618,43,0,0,23,2,5,0,0
20130619,37,0,0,19,2,5,1,0
20130620,48,0,0,24,3,4,1,0
20130621,35,0,0,18,5,2,0,0
20130622,10,0,0,6,0,0,0,0
20130623,5,0,0,1,0,0,1,0
20130624,19,1,0,18,3,5,0,0
20130625,23,0,0,15,3,5,1,0
20130626,31,0,0,18,1,5,0,0
20130627,40,0,0,17,1,9,0,0
20130628,48,0,0,15,4,11,1,1
20130629,21,0,0,9,1,3,0,0
20130630,2,0,0,0,0,0,0,0
20130701,45,1,0,14,2,2,0,0
20130702,32,0,0,15,4,4,0,0
20130703,41,0,0,14,4,7,2,0
20130704,23,0,0,13,1,7,0,0
20130705,26,0,0,7,0,3,0,0
20130706,1,0,0,2,0,2,0,0
20130707,0,0,0,1,0,0,0,0
20130708,36,0,0,5,2,4,1,0
20130709,63,0,0,5,5,3,2,0
20130710,77,0,0,8,6,8,0,0
20130711,75,0,0,10,5,2,0,0
20130712,53,0,0,3,7,0,1,0
20130713,14,0,0,1,2,0,0,0
20130714,14,0,0,3,1,2,0,0
20130715,20,0,0,13,6,3,1,0
20130716,49,2,0,11,6,6,0,0
20130717,70,0,0,18,10,18,0,0
20130718,43,0,0,11,5,13,1,0
20130719,23,0,0,13,3,4,0,1
20130720,8,0,0,6,0,0,0,0
20130721,10,0,0,3,4,0,0,0
20130722,44,0,0,12,2,3,0,0
20130723,64,0,0,11,5,2,0,0
20130724,40,0,0,9,3,1,0,0
20130725,40,0,0,50,5,4,1,0
20130726,37,0,0,13,2,0,1,0
20130727,12,0,0,7,2,1,1,0
20130728,0,0,0,3,0,1,0,0
20130729,23,0,0,12,1,1,0,0
20130730,45,0,0,26,3,3,0,0
20130731,41,0,0,10,5,6,0,0
20130801,39,0,0,19,6,2,0,1
20130802,48,0,0,24,6,3,1,0
20130803,9,0,0,5,1,1,0,0
20130804,6,0,0,8,2,0,0,0
20130805,25,0,0,4,12,2,0,2
20130806,45,0,0,17,7,4,1,0
20130807,41,0,0,12,11,1,1,0
20130808,47,0,0,18,3,4,2,0
20130809,54,0,0,16,9,8,0,0
20130810,12,0,0,3,3,0,0,0
20130811,1,0,0,4,1,0,0,0
20130812,34,0,0,13,2,4,0,0
20130813,41,0,0,22,14,6,1,0
20130814,40,0,0,15,3,7,1,0
20130815,36,0,0,28,3,5,0,0
20130816,31,0,0,12,4,2,1,0
20130817,7,0,0,22,1,1,0,1
20130818,2,0,0,10,1,0,0,0
20130819,33,0,0,22,5,3,2,0
20130820,26,0,0,32,15,5,1,0
20130821,53,0,0,21,11,0,0,0
20130822,55,0,0,10,3,5,2,0
20130823,25,0,0,31,5,2,1,0
20130824,10,0,0,15,1,0,0,0
20130825,3,0,0,18,0,1,0,0
20130826,30,0,0,33,0,3,0,0
20130827,27,0,0,31,1,3,1,1
20130828,51,0,0,32,1,3,2,0
20130829,24,0,0,21,5,4,0,0
20130830,35,0,0,26,14,3,1,0
20130831,7,0,0,9,3,1,1,0
20130901,1,0,0,8,5,2,0,0
20130902,13,0,0,13,18,2,1,0
20130903,27,0,0,9,6,3,0,0
20130904,40,0,0,28,5,2,2,0
20130905,42,0,0,39,7,6,1,0
20130906,32,0,0,23,5,4,0,0
20130907,7,0,0,15,2,0,0,0
20130908,3,0,0,17,1,0,0,0
20130909,33,0,0,23,10,9,0,0
20130910,36,0,0,29,10,4,0,0
20130911,47,0,0,45,5,2,0,0
20130912,32,0,0,30,13,5,2,0
20130913,29,0,0,45,12,1,3,0
20130914,9,0,0,34,0,2,0,0
20130915,5,0,0,30,2,0,0,0
20130916,19,0,0,32,5,4,0,0
20130917,22,0,0,49,10,1,1,0
20130918,24,0,0,28,5,1,4,0
20130919,32,0,0,18,6,1,1,0
20130920,33,0,0,43,8,1,1,0
20130921,8,0,0,14,0,0,1,0
20130922,0,0,0,10,0,0,0,0
20130923,23,0,0,34,2,2,0,0
20130924,30,0,0,34,2,4,1,0
20130925,19,0,0,35,1,3,2,0
20130926,32,0,0,33,4,3,4,0
20130927,41,0,0,25,6,3,1,0
20130928,13,0,0,14,1,3,1,0
20130929,2,1,0,4,0,0,0,0
20130930,30,0,0,29,0,7,0,0
20131001,73,0,0,23,2,2,2,0
20131002,53,0,0,18,3,2,4,0
20131003,41,0,0,15,1,1,1,0
20131004,71,0,0,18,7,1,2,0
20131005,19,0,0,37,0,2,2,0
20131006,2,0,0,22,0,3,0,0
20131007,31,0,0,24,5,2,0,0
20131008,58,0,0,24,5,2,1,0
20131009,42,0,0,13,10,1,2,0
20131010,65,0,0,43,4,1,3,0
20131011,58,0,0,23,5,5,1,0
20131012,12,0,0,17,4,0,1,0
20131013,17,0,0,30,0,0,0,0
20131014,33,0,0,20,3,0,0,0
20131015,47,0,0,20,5,1,0,1
20131016,58,1,0,24,9,3,2,0
20131017,59,1,0,26,7,3,4,0
20131018,34,0,0,15,2,1,0,0
20131019,29,0,0,17,2,0,1,0
20131020,4,0,0,9,3,0,1,0
20131021,36,0,0,20,4,2,1,0
20131022,76,0,0,27,15,4,5,0
20131023,52,0,0,34,9,4,5,0
20131024,42,0,0,22,16,8,1,0
20131025,52,0,0,30,21,1,3,0
20131026,12,0,0,9,0,0,0,0
20131027,6,0,0,3,2,0,2,0
20131028,41,0,0,13,10,1,2,0
20131029,60,0,0,37,10,2,4,0
20131030,42,0,0,38,11,3,7,0
20131031,66,0,0,41,8,4,12,0
20131101,56,0,0,32,7,3,5,0
20131102,8,0,0,27,0,0,1,0
20131103,1,0,0,18,1,1,0,0
20131104,28,0,0,28,5,2,3,0
20131105,47,0,0,37,12,2,5,0
20131106,30,0,0,46,5,3,7,0
20131107,47,0,0,35,5,3,6,0
20131108,41,0,0,35,6,3,3,0
20131109,19,0,0,18,1,1,1,0
20131110,1,0,0,17,2,1,1,0
20131111,19,0,0,14,1,1,1,0
20131112,59,0,0,35,11,2,8,0
20131113,50,1,0,58,5,1,4,0
20131114,42,0,0,26,5,3,8,0
20131115,54,0,0,16,3,1,3,0
20131116,6,0,0,6,1,1,3,0
20131117,4,0,0,5,0,0,0,0
20131118,40,0,0,22,2,6,6,0
20131119,35,0,0,25,2,3,5,0
20131120,57,0,0,17,1,4,5,0
20131121,49,0,0,28,1,1,2,0
20131122,40,0,0,14,1,1,2,0
20131123,6,0,0,6,2,1,0,0
20131124,3,0,0,3,0,1,0,0
20131125,32,0,0,8,3,1,1,0
20131126,38,0,0,9,5,0,2,0
20131127,26,0,0,4,13,1,1,0
20131128,49,0,0,10,5,1,1,0
20131129,32,0,0,3,1,5,7,0
20131130,3,0,0,8,0,0,0,0
20131201,2,0,0,6,0,3,0,0
20131202,36,0,0,26,7,3,19,0
20131203,41,0,0,34,2,5,9,0
20131204,36,0,0,32,6,1,9,0
20131205,44,0,0,20,7,2,8,0
20131206,36,0,0,20,4,3,5,0
20131207,9,0,0,8,0,0,2,0
20131208,0,0,0,6,1,1,0,0
20131209,37,0,0,14,9,5,7,0
20131210,55,0,0,14,4,5,7,0
20131211,42,0,0,15,5,10,4,0
20131212,51,0,0,17,2,1,2,0
20131213,29,0,0,28,1,3,2,0
20131214,8,0,0,21,2,0,0,0
20131215,9,0,0,11,0,2,0,0
20131216,33,0,0,21,3,4,2,0
20131217,28,0,0,28,2,4,1,0
20131218,50,0,0,42,5,5,6,0
20131219,34,0,0,33,2,1,4,0
20131220,22,0,0,25,0,3,4,0
20131221,5,0,0,13,0,1,0,0
20131222,2,0,0,6,0,1,0,0
20131223,10,0,0,17,1,2,0,0
20131224,4,0,0,14,1,2,0,0
20131225,7,0,0,3,0,0,0,0
20131226,8,0,0,5,0,2,0,0
20131227,8,0,0,7,0,1,0,0
20131228,2,0,0,2,0,0,0,0
20131229,0,0,0,4,0,0,0,0
20131230,6,0,0,15,7,5,0,0
20131231,2,0,0,10,7,1,0,0
20140101,4,0,0,8,7,0,0,0
20140102,10,0,0,19,2,2,1,0
20140103,19,0,0,19,7,4,1,0
20140104,1,0,0,14,1,1,0,0
20140105,0,0,0,5,0,0,0,0
20140106,20,0,0,21,3,2,1,0
20140107,53,0,0,17,15,9,5,0
20140108,46,0,0,19,8,2,3,0
20140109,53,0,0,28,13,5,3,0
20140110,44,0,0,62,16,5,3,0
20140111,7,0,0,76,10,2,1,0
20140112,0,0,0,44,0,0,0,0
20140113,18,0,0,46,7,4,4,0
20140114,37,0,0,47,12,8,9,0
20140115,39,0,0,43,12,4,4,0
20140116,34,0,0,34,10,4,9,0
20140117,39,0,0,29,7,3,12,0
20140118,11,0,0,29,1,1,1,0
20140119,2,0,0,7,0,0,1,0
20140120,20,1,0,11,2,6,2,2
20140121,33,0,0,22,4,9,5,0
20140122,33,1,0,33,4,5,2,0
20140123,54,0,0,31,4,3,1,0
20140124,73,0,0,51,3,2,8,1
20140125,9,0,0,33,1,4,0,0
20140126,1,0,0,19,1,1,0,0
20140127,31,0,0,34,4,1,3,0
20140128,40,0,0,45,3,5,4,0
20140129,34,0,0,33,4,4,4,0
20140130,42,0,0,48,7,1,3,0
20140131,36,1,0,45,3,1,3,0
20140201,5,0,0,20,2,0,0,0
20140202,3,0,0,18,0,1,0,0
20140203,39,0,0,36,3,3,2,0
20140204,41,0,0,37,7,7,8,0
20140205,64,0,0,20,3,2,11,0
20140206,48,0,0,42,6,4,7,0
20140207,48,0,0,44,2,6,3,0
