date,Total,Comments,Perl,IDL,C/C++ Header,Assembly,Objective C,Python,Objective C++,Javascript,C,C++
20130101,1006596,276256,15408,26196,216149,19,44,2874,35279,79699,1018,604708
20130104,1007213,276457,15567,26200,216326,19,44,2874,35332,79699,1018,604929
20130107,1007468,276459,15567,26201,216484,19,44,2874,35330,79699,1018,605027
20130110,1008304,276696,15576,26255,216632,19,44,2874,35346,79702,1018,605603
20130113,1008673,276844,15577,26255,216738,19,44,2885,35350,79787,1018,605751
20130116,1011676,277808,15567,26433,217063,19,44,2888,35415,80479,1018,607329
20130119,1013622,278299,15567,26471,217371,19,44,2890,35490,81012,1018,608206
20130122,1012928,278179,15588,26476,216971,19,44,2931,35497,81391,1018,607430
20130125,1014161,278386,15611,26452,217388,19,44,2931,35539,81647,1018,607841
20130128,1014617,278615,15610,26482,217537,19,44,2931,35596,81623,1018,608075
20130131,1016533,278954,15794,26645,217703,19,44,2931,35606,81874,1018,609194
20130203,1020442,279562,15808,26639,218605,19,44,2931,35620,82030,1018,611954
20130206,1022208,280487,15808,26697,219194,19,44,2931,35719,82112,1018,612861
20130209,1024879,281714,15800,26900,219870,19,44,2931,35735,82757,1018,613881
20130212,1026488,281798,15804,26713,220064,19,44,2934,35789,83242,1018,614940
20130215,1029938,282589,15868,26821,220755,19,44,2929,35932,83378,1018,617218
20130218,1033425,283465,15871,26823,221547,19,44,2931,37830,83639,1018,617732
20130221,1035067,283793,15917,26815,221603,19,44,2951,37963,83959,1018,618752
20130224,1037193,284779,15966,26861,222047,19,44,2951,37959,84212,1018,620078
20130227,1039484,285061,16010,26870,222364,19,44,2953,38069,84496,1018,621531
20130302,1042402,285869,16007,26978,222489,19,44,2997,38099,85900,1018,622683
20130305,1061482,286671,16018,27009,223337,19,44,2998,38105,101703,1018,625084
20130308,1063859,286828,16022,27036,223684,19,44,2998,38195,102428,1018,626077
20130311,1064887,287118,16022,27036,223995,19,44,2998,38199,102582,1018,626623
20130314,1067128,287864,16024,27197,224791,19,44,2998,38367,102884,1018,627343
20130317,1068705,287948,16162,27221,225074,19,44,2998,38458,102967,1018,628255
20130320,1071125,288394,16265,27263,225796,19,44,3000,38631,103683,1018,628988
20130323,1072477,288712,16353,27239,226033,19,44,3002,38636,103888,1018,629938
20130326,1074197,289089,16379,27355,226360,19,44,3002,38937,104017,1018,630750
20130329,1075826,289427,16387,27367,226517,19,44,3003,38813,104544,1018,631758
20130401,1076412,289542,16387,27370,226701,19,44,3003,38817,104634,1018,632116
20130404,948902,256786,16379,27087,209151,19,44,2931,33813,103651,0,542524
20130407,821661,228549,9685,26773,187816,0,0,2929,13729,104056,0,463777
20130410,792678,224554,9544,25525,181202,0,0,2889,8125,103916,0,449298
20130413,675655,198369,9365,25349,179387,0,0,2364,7083,6350,0,441970
20130416,670766,196953,9111,25254,178034,0,0,2470,7085,6350,0,438675
20130419,666497,196267,9365,25253,176709,0,0,2470,6731,6351,0,435831
20130422,667051,196128,9365,25234,175883,0,0,2470,6463,6351,0,437498
20130425,666103,195845,9252,25425,175457,0,0,2475,6359,6351,0,436966
20130428,663448,194991,9303,25310,173895,0,0,2475,6332,6351,0,435963
20130501,660426,194538,9222,25330,173103,0,0,2543,6332,6351,0,433705
20130504,659280,194575,9302,25251,172611,0,0,2543,6392,6351,0,433040
20130507,659062,194821,9294,24880,172188,0,0,2585,6356,6351,0,433624
20130510,654905,193679,8846,24784,171256,0,0,2755,6358,6352,0,430781
20130513,655325,193744,8878,24780,171489,0,0,2755,6358,6352,0,431148
20130516,651798,193348,8696,24649,170127,0,0,2721,6358,6352,0,429327
20130519,645962,188185,8685,24678,164372,0,0,2721,6358,6352,0,429228
20130522,646368,188354,8547,24747,164577,0,0,2854,6338,6352,0,429404
20130525,645081,188360,8534,24651,164352,0,0,2906,6338,6352,0,428399
20130528,643971,187893,8678,24652,164234,0,0,2866,6345,6352,0,427305
20130531,643686,188317,8778,24805,163669,0,0,3157,6348,6355,0,427044
20130603,644171,188610,8775,24841,163622,0,0,3157,6348,6355,0,427543
20130606,638091,187821,8840,24857,162773,0,0,3219,6247,6368,0,422240
20130609,637835,187757,8840,24826,162784,0,0,3178,6246,6379,0,421978
20130612,638178,187771,8838,24931,162629,0,0,3179,6246,6379,0,422372
20130615,641305,188607,8938,25264,162874,0,0,3185,6249,6604,0,424587
20130618,641821,188664,8965,25290,162740,0,0,3303,6249,6628,0,425136
20130621,642534,188822,9094,25315,162864,0,0,3312,6229,6630,0,425581
20130624,642623,188966,9094,25399,162791,0,0,3315,6229,6630,0,425656
20130627,642523,188859,9090,25274,162602,0,0,3333,6255,6636,0,425742
20130630,643736,189007,9092,25267,162759,0,0,3358,6255,6674,0,426740
20130703,644383,189127,9122,25353,161900,0,0,3358,6261,6677,0,428118
20130706,645450,189684,9097,25365,162222,0,0,3584,6261,6677,0,428650
20130709,647367,190488,9106,25508,162418,0,0,3583,6261,6657,0,430298
20130712,641677,171424,9117,25203,154727,0,0,3680,6256,6657,0,432670
20130715,641495,171406,9111,25209,154712,0,0,3683,6256,6657,0,432500
20130718,637847,171395,9089,25299,154074,0,0,3684,6256,6730,0,429328
20130721,638163,171813,9085,25369,154371,0,0,3729,6256,6838,0,429128
20130724,639938,172849,9059,25361,154432,0,0,4594,6256,6799,0,430246
20130727,641071,173189,9061,25398,154890,0,0,4617,6240,6802,0,430872
20130730,640494,173178,9074,25436,154586,0,0,4720,6240,6802,0,430445
20130802,642253,173737,9080,25528,154736,0,0,4835,6251,6802,0,431835
20130805,642946,173954,9049,25600,154832,0,0,4888,6241,6802,0,432348
20130808,644047,177223,9046,25226,155570,0,0,4888,6241,6802,0,433085
20130811,644283,174641,9040,25195,155381,0,0,4899,6241,6802,0,433536
20130814,646048,175290,9006,25193,155676,0,0,4899,6241,7277,0,434567
20130817,646991,175470,9052,25251,156440,0,0,4906,6241,7277,0,434635
20130820,647055,175661,9034,25334,156229,0,0,4906,6241,7277,0,434845
20130823,649678,175740,9062,25366,156588,0,0,4906,6245,7282,0,437037
20130826,649677,175911,9062,25423,156683,0,0,4914,6267,7282,0,436851
20130829,650536,176184,9039,25526,156997,0,0,4968,6267,7282,0,437263
20130901,650522,176175,9039,25528,156985,0,0,4968,6267,7281,0,437260
20130904,650949,176441,9041,25532,157215,0,0,5008,6267,7280,0,437411
20130907,651511,176680,9041,25520,157335,0,0,5008,6267,7280,0,437857
20130910,651610,176936,9052,25516,157342,0,0,5010,6267,7280,0,437940
20130913,652645,177486,9058,25570,157734,0,0,5010,6268,7280,0,438522
20130916,653167,177576,9069,25571,157887,0,0,5010,6268,7280,0,438879
20130919,654547,177781,9101,25614,158218,0,0,5010,6268,7280,0,439853
20130923,655347,177893,9106,25576,158491,0,0,5010,6268,7278,0,440415
20130925,656414,177960,9138,25620,158688,0,0,5191,6270,7280,0,441024
20130928,656301,177753,9121,25643,158563,0,0,5222,6272,7278,0,440997
20131001,657499,177982,9124,25684,158806,0,0,5249,6282,7278,0,441871
20131004,654232,176486,9176,25689,159010,0,0,5219,5941,4484,0,441888
20131007,654192,176396,9176,25691,158831,0,0,5240,5941,4484,0,442004
20131010,651925,175202,7906,25723,158570,0,0,4009,5940,4484,0,442498
20131013,652084,175072,7907,25764,158284,0,0,4030,5940,4484,0,442880
20131016,653725,175242,7934,25899,158388,0,0,4112,5938,4484,0,444175
20131019,656048,175710,7933,25839,158701,0,0,4202,5962,4497,0,446115
