path,file,count
Source/WebCore/dom,Document.cpp,841
Source/WebCore/dom,Element.cpp,446
Source/WebCore/css,StyleResolver.cpp,430
Source/WebCore/dom,Document.h,421
Source/WebCore/page,FrameView.cpp,419
Source/WebCore/rendering,RenderLayer.cpp,390
Source/WebCore/loader,FrameLoader.cpp,386
Source/WebCore/rendering,RenderLayerCompositor.cpp,340
Source/WebCore/testing,Internals.cpp,328
Source/WebCore/dom,Node.cpp,313
Source/WebKit/chromium/src,WebViewImpl.cpp,311
Source/WebCore/rendering,RenderObject.cpp,300
Source/WebCore/rendering,RenderBlock.cpp,298
Source/WebCore/page,EventHandler.cpp,295
Source/WebCore/html,HTMLMediaElement.cpp,288
Source/WebCore/css,CSSComputedStyleDeclaration.cpp,284
Source/bindings/tests/results,V8TestObjectPython.cpp,264
Source/bindings/tests/results,V8TestObject.cpp,260
Source/WebCore/page,DOMWindow.cpp,235
Source/WebCore/dom,Element.h,235
Source/WebCore/rendering,RenderBox.cpp,234
Source/WebCore/dom,Node.h,220
Source/WebCore/loader,DocumentLoader.cpp,217
Source/WebCore/page,UseCounter.h,216
Source/WebCore/css,StyleResolver.h,214
Source/WebCore/bindings/tests/results,V8TestInterface.cpp,206
Source/WebCore/page,Page.cpp,205
Source/WebCore/html,HTMLInputElement.cpp,203
Source/WebCore/rendering,RenderLayer.h,197
Source/WebCore/rendering,RenderObject.h,194
Source/WebKit/chromium/src,WebFrameImpl.cpp,191
Source/WebKit/chromium/tests,WebFrameTest.cpp,189
Source/WebCore/html/canvas,CanvasRenderingContext2D.cpp,189
Source/bindings/templates,interface.cpp,183
Source/WebCore/xml,XMLHttpRequest.cpp,177
Source/bindings/tests/idls,TestObjectPython.idl,176
Source/WebCore/rendering,RenderBlockLineLayout.cpp,175
Source/WebCore/loader,FrameLoader.h,170
Source/WebCore/page,Frame.cpp,168
Source/WebCore/rendering/style,RenderStyle.h,168
Source/WebCore/loader,EmptyClients.h,165
Source/WebCore/inspector,InspectorPageAgent.cpp,165
Source/WebCore/editing,Editor.cpp,164
Source/WebCore/html/canvas,WebGLRenderingContext.cpp,163
Source/WebCore/page,FrameView.h,161
Source/WebCore/page,UseCounter.cpp,161
Source/WebCore/bindings/tests/results,V8TestTypedefs.cpp,160
Source/core/rendering,CompositedLayerMapping.cpp,156
Source/bindings/v8,V8Binding.h,155
Source/WebCore/inspector,InspectorCSSAgent.cpp,154
Source/WebCore/html,HTMLMediaElement.h,153
Source/WebKit/chromium/src,FrameLoaderClientImpl.cpp,152
Source/WebCore/css,CSSParser.cpp,150
Source/WebCore/rendering,RenderView.cpp,149
Source/WebCore/rendering,RenderLayerCompositor.h,146
Source/core/css/resolver,StyleBuilderCustom.cpp,146
Source/WebCore/dom,ContainerNode.cpp,144
Source/core/animation/css,CSSAnimations.cpp,144
Source/WebCore/rendering,RenderBlock.h,143
Source/WebCore/bindings/v8,V8Binding.cpp,142
Source/WebKit/chromium/src,ChromeClientImpl.cpp,137
Source/WebCore/bindings/js,ScriptController.cpp,137
Source/WebCore/bindings/scripts/test/V8,V8TestEventTarget.cpp,136
