date,Blink,Webkit,Blink(core),Webkit(core)
20130101,1,1,1,1
20130102,68,68,41,41
20130103,151,151,96,96
20130104,253,253,161,161
20130105,297,297,185,185
20130106,305,305,191,191
20130107,383,383,241,241
20130108,493,493,311,311
20130109,614,614,379,379
20130110,735,735,445,445
20130111,843,843,506,506
20130112,883,883,530,530
20130113,900,900,534,534
20130114,985,985,583,583
20130115,1103,1103,653,653
20130116,1223,1223,729,729
20130117,1343,1343,826,826
20130118,1484,1484,909,909
20130119,1530,1530,927,927
20130120,1552,1552,939,939
20130121,1632,1632,1001,1001
20130122,1744,1744,1082,1082
20130123,1857,1857,1162,1162
20130124,1977,1977,1254,1254
20130125,2102,2102,1332,1332
20130126,2142,2142,1367,1367
20130127,2154,2154,1379,1379
20130128,2246,2246,1446,1446
20130129,2376,2376,1538,1538
20130130,2526,2526,1639,1639
20130131,2684,2684,1748,1748
20130201,2835,2835,1861,1861
20130202,2886,2886,1895,1895
20130203,2897,2897,1903,1903
20130204,3002,3002,1977,1977
20130205,3115,3115,2057,2057
20130206,3212,3212,2125,2125
20130207,3356,3356,2222,2222
20130208,3484,3484,2288,2288
20130209,3539,3539,2321,2321
20130210,3575,3575,2342,2342
20130211,3694,3694,2417,2417
20130212,3828,3828,2518,2518
20130213,3954,3954,2613,2613
20130214,4062,4062,2699,2699
20130215,4192,4192,2785,2785
20130216,4233,4233,2817,2817
20130217,4254,4254,2827,2827
20130218,4376,4376,2895,2895
20130219,4497,4497,2970,2970
20130220,4598,4598,3047,3047
20130221,4716,4716,3140,3140
20130222,4851,4851,3238,3238
20130223,4892,4892,3266,3266
20130224,4913,4913,3284,3284
20130225,5002,5002,3337,3337
20130226,5120,5120,3420,3420
20130227,5251,5251,3501,3501
20130228,5376,5376,3569,3569
20130301,5485,5485,3642,3642
20130302,5517,5517,3669,3669
20130303,5549,5549,3700,3700
20130304,5643,5643,3780,3780
20130305,5775,5775,3876,3876
20130306,5918,5918,3957,3957
20130307,6054,6054,4050,4050
20130308,6175,6175,4124,4124
20130309,6202,6202,4141,4141
20130310,6212,6212,4150,4150
20130311,6301,6301,4221,4221
20130312,6434,6434,4315,4315
20130313,6535,6535,4384,4384
20130314,6609,6609,4440,4440
20130315,6704,6704,4510,4510
20130316,6741,6741,4523,4523
20130317,6760,6760,4534,4534
20130318,6870,6870,4606,4606
20130319,6989,6989,4682,4682
20130320,7113,7113,4755,4755
20130321,7238,7238,4828,4828
20130322,7369,7369,4908,4908
20130323,7407,7407,4922,4922
20130324,7418,7418,4932,4932
20130325,7495,7495,4986,4986
20130326,7607,7607,5055,5055
20130327,7678,7678,5105,5105
20130328,7814,7814,5192,5192
20130329,7883,7883,5233,5233
20130330,7897,7897,5244,5244
20130331,7903,7903,5248,5248
20130401,7968,7968,5283,5283
20130402,8088,8093,5360,5364
20130403,8089,8171,5360,5413
20130404,8125,8245,5378,5451
20130405,8261,8364,5488,5541
20130406,8299,8406,5521,5566
20130407,8310,8431,5530,5583
20130408,8428,8505,5628,5628
20130409,8534,8602,5721,5684
20130410,8669,8684,5833,5741
20130411,8777,8778,5915,5801
20130412,8853,8841,5958,5853
20130413,8863,8866,5963,5869
20130414,8873,8894,5971,5893
20130415,8941,8941,6025,5921
20130416,9025,9017,6077,5978
20130417,9104,9089,6130,6018
20130418,9206,9146,6188,6061
20130419,9274,9208,6243,6097
20130420,9286,9227,6253,6103
20130421,9300,9268,6263,6106
20130422,9369,9349,6310,6158
20130423,9438,9421,6352,6209
20130424,9548,9491,6427,6264
20130425,9627,9568,6481,6314
20130426,9721,9632,6556,6357
20130427,9754,9653,6579,6369
20130428,9790,9668,6606,6382
20130429,9858,9734,6653,6427
20130430,9958,9811,6722,6480
20130501,10014,9856,6764,6517
20130502,10077,9893,6809,6543
20130503,10123,9926,6841,6571
20130504,10144,9949,6849,6587
20130505,10151,9961,6849,6599
20130506,10255,10028,6928,6638
20130507,10345,10077,6995,6677
20130508,10412,10157,7047,6726
20130509,10476,10231,7085,6782
20130510,10567,10279,7142,6817
20130511,10587,10309,7157,6844
20130512,10594,10329,7161,6863
20130513,10677,10393,7215,6913
20130514,10777,10439,7274,6948
20130515,10853,10502,7333,6995
20130516,10931,10551,7392,7032
20130517,10999,10645,7439,7106
20130518,11010,10679,7445,7132
20130519,11019,10691,7448,7141
20130520,11099,10721,7505,7159
