date,Total,Comments,Perl,IDL,C/C++ Header,Assembly,Objective C,Python,Objective C++,Javascript,C,C++
20130101,1006588,276256,15408,26196,216149,19,44,2874,35279,79699,1018,604708
20130104,1007205,276457,15567,26200,216326,19,44,2874,35332,79699,1018,604929
20130107,1007460,276459,15567,26201,216484,19,44,2874,35330,79699,1018,605027
20130110,1008296,276696,15576,26255,216632,19,44,2874,35346,79702,1018,605603
20130113,1008665,276844,15577,26255,216738,19,44,2885,35350,79787,1018,605751
20130116,1011668,277808,15567,26433,217063,19,44,2888,35415,80479,1018,607329
20130119,1013614,278299,15567,26471,217371,19,44,2890,35490,81012,1018,608206
20130122,1012920,278179,15588,26476,216971,19,44,2931,35497,81391,1018,607430
20130125,1014153,278386,15611,26452,217388,19,44,2931,35539,81647,1018,607841
20130128,1014609,278615,15610,26482,217537,19,44,2931,35596,81623,1018,608075
20130131,1016525,278954,15794,26645,217703,19,44,2931,35606,81874,1018,609194
20130203,1020434,279562,15808,26639,218605,19,44,2931,35620,82030,1018,611954
20130206,1022200,280487,15808,26697,219194,19,44,2931,35719,82112,1018,612861
20130209,1024871,281714,15800,26900,219870,19,44,2931,35735,82757,1018,613881
20130212,1026480,281798,15804,26713,220064,19,44,2934,35789,83242,1018,614940
20130215,1029930,282589,15868,26821,220755,19,44,2929,35932,83378,1018,617218
20130218,1033417,283465,15871,26823,221547,19,44,2931,37830,83639,1018,617732
20130221,1035059,283793,15917,26815,221603,19,44,2951,37963,83959,1018,618752
20130224,1037185,284779,15966,26861,222047,19,44,2951,37959,84212,1018,620078
20130227,1039476,285061,16010,26870,222364,19,44,2953,38069,84496,1018,621531
20130302,1042394,285869,16007,26978,222489,19,44,2997,38099,85900,1018,622683
20130305,1061474,286671,16018,27009,223337,19,44,2998,38105,101703,1018,625084
20130308,1063851,286828,16022,27036,223684,19,44,2998,38195,102428,1018,626077
20130311,1064879,287118,16022,27036,223995,19,44,2998,38199,102582,1018,626623
20130314,1067120,287864,16024,27197,224791,19,44,2998,38367,102884,1018,627343
20130317,1068697,287948,16162,27221,225074,19,44,2998,38458,102967,1018,628255
20130320,1071117,288394,16265,27263,225796,19,44,3000,38631,103683,1018,628988
20130323,1072469,288712,16353,27239,226033,19,44,3002,38636,103888,1018,629938
20130326,1074189,289089,16379,27355,226360,19,44,3002,38937,104017,1018,630750
20130329,1075818,289427,16387,27367,226517,19,44,3003,38813,104544,1018,631758
20130401,1076404,289542,16387,27370,226701,19,44,3003,38817,104634,1018,632116
20130404,1077940,289743,16387,27371,226933,19,44,3003,39068,104653,1018,633118
20130407,1004138,259470,12643,27220,209963,19,44,3003,38041,104349,1018,582280
20130410,1002667,258761,12676,27209,209972,19,44,2547,38227,104350,1018,581135
20130413,1005009,259308,12820,27224,210522,19,44,2547,38233,104350,1018,582748
20130416,1005153,259285,12633,27205,210558,19,44,2547,38238,104341,1018,583044
20130419,1002386,258748,12640,27169,210173,19,44,2548,38238,104363,1018,580648
20130422,999524,258652,12640,27322,209642,19,44,2548,38260,104363,1018,578100
20130425,993659,256546,12644,27279,209242,19,44,2548,38066,104363,1018,572857
20130428,993190,256402,12681,27258,208916,19,44,2548,38055,104363,1018,572702
20130501,992683,256236,12685,27271,208884,19,44,2548,38066,104363,1018,572183
20130504,992194,256112,12685,27227,208590,19,44,2548,38218,104343,1018,571894
20130507,992130,256028,12657,27226,208555,19,44,2548,38018,104361,1018,572069
20130510,991492,255624,12736,26765,208409,19,44,2547,37971,104610,1011,571630
20130513,991519,255578,12754,26739,208359,19,44,2547,37954,104610,909,571800
20130516,991932,255460,12754,26737,208244,19,44,2547,38471,104610,910,571501
20130519,991454,255015,12816,26722,208022,19,44,2547,38457,104610,910,571222
20130522,992089,255188,12816,26706,208154,19,44,2547,38473,104610,910,571716
20130525,990620,254712,12811,26625,207942,19,44,2547,38468,104610,910,570555
20130528,987878,253332,12811,26632,207907,19,44,2547,38448,102334,910,570378
20130531,984891,252653,12811,26599,207423,19,44,2547,38462,101813,910,568662
20130603,984796,252634,12811,26599,207447,19,44,2512,38188,101809,910,568897
20130606,984990,252588,12834,26500,207515,19,44,2512,38193,101814,910,569096
20130609,984375,252591,12682,25971,207530,19,44,2512,38193,101814,910,569147
20130612,984614,252658,12737,25917,207596,19,44,2512,38202,101815,910,569340
20130615,985571,252804,12752,25921,207934,19,44,2512,38266,101815,910,569877
20130618,985783,252853,12766,25923,207976,19,44,2512,38228,101815,910,570067
20130621,998372,253769,12557,26032,219564,19,44,2512,38348,101838,910,571018
20130624,998439,253762,12563,26060,219596,19,44,2512,38378,101838,910,570987
20130627,998599,253789,12589,26050,219656,19,44,2512,37788,101838,910,571644
20130630,998911,253845,12594,25991,219612,19,44,2512,37815,101838,910,572023
20130703,996449,253554,12593,25991,219280,19,44,2512,37794,101838,910,569976
20130706,996587,253623,12586,25920,219376,19,44,2512,37803,101838,910,570087
20130709,996808,253638,12572,25922,219442,19,44,2512,37814,101838,910,570241
20130712,996331,253800,12559,25888,219330,19,44,2512,37814,101838,911,569905
20130715,996304,253799,12545,25888,219338,19,44,2512,37814,101838,911,569884
20130718,997668,254156,12504,25924,219659,19,44,2512,37822,101838,911,570905
20130721,997873,254172,12495,25926,219678,19,44,2512,37802,101838,911,571119
20130724,997728,254020,12495,25927,219182,19,44,2512,37802,101841,911,571466
20130727,998802,254318,12495,25929,219982,19,44,2512,37804,101841,911,571727
20130730,999068,254344,12495,25930,220019,19,44,2512,37804,101841,911,571947
20130802,999895,254422,12496,25931,220151,19,44,2512,37806,101841,911,572637
20130805,998979,254025,12482,25920,219264,19,44,2512,37821,101841,911,572635
20130808,998251,253768,12478,25798,219101,19,44,2512,37789,101841,911,572267
20130811,998361,253851,12491,25824,219137,19,44,2512,37794,101841,911,572285
20130814,999291,254028,12494,25838,219299,19,44,2512,37796,101841,911,573022
20130817,998495,254120,12450,25282,219386,19,44,2512,37847,101841,911,572735
20130820,997962,254251,12339,25282,219372,19,44,2512,37582,101841,911,572593
20130823,998276,254262,12341,25253,219727,19,44,2512,37556,101841,911,572604
20130826,998402,254337,12342,25253,219964,19,44,2520,37587,101841,911,572448
20130829,998780,254350,12342,25231,220204,19,44,2520,37579,101841,911,572630
20130901,1000274,254674,12342,25232,221067,19,44,2520,37622,101843,911,573196
20130904,1001138,254873,12378,25239,221019,19,44,2520,37664,101843,911,573952
20130907,1001185,254932,12385,25239,220711,29,44,2520,37596,101843,911,574348
20130910,1001914,255353,12383,25255,220612,29,44,2520,37651,101843,911,574869
20130913,1000915,255247,12425,25220,220671,29,44,2520,37657,101771,911,573883
20130916,1001414,255360,12427,25223,220692,29,44,2716,37655,102161,911,574133
20130919,1003960,256001,12401,25464,221108,29,44,2716,38408,102161,911,575253
20130922,1004561,256123,12746,25469,221185,29,44,2716,38412,102229,911,575360
20130925,1004229,255947,12746,25436,221031,29,44,2716,38510,102235,911,575127
20130928,1006382,255862,12746,25502,221350,29,44,2716,38524,103008,911,575910
20131001,999631,253287,12746,24503,219522,29,44,2715,38702,103022,911,572004
20131004,983095,249919,12752,24370,217606,29,44,2715,38998,103022,911,557218
20131007,983775,250302,12763,24794,217774,29,44,2715,39003,103022,911,557423
20131010,984070,250321,12763,24794,217787,29,44,2715,39070,103076,911,557669
20131013,876846,227534,12778,24756,217035,29,44,2307,38991,6310,911,556710
20131016,876573,227828,12795,24790,217404,29,44,2307,39019,5375,911,556905
20131019,877279,228056,12795,24791,218145,29,44,2307,39004,5375,911,556864
20131022,878039,228288,12795,24791,218357,29,44,2307,39051,5375,911,557361
20131025,878841,228556,12789,24848,218192,29,44,2307,39013,5375,911,558307
20131028,879062,228403,12815,24846,218249,29,44,2307,38908,5374,912,558549
20131031,881394,229392,12817,24715,219293,29,42,2158,39690,5335,912,559380
20131103,883028,229986,12819,24725,219931,29,42,2158,39690,5400,912,560297
20131106,882599,230084,12819,24726,220230,29,42,2158,39801,5477,912,559367
20131109,884791,230951,12827,24823,220787,29,42,2158,39878,5477,912,560815
20131112,884777,231076,12829,24601,220715,29,42,2158,39860,5527,912,561052
20131115,887722,231569,12829,24605,222283,29,42,2222,39889,5539,912,562225
20131118,888769,231771,12832,24605,222530,29,42,2222,39775,5539,912,563126
20131121,891655,232323,12829,24637,223069,29,42,2222,40136,5539,912,565068
20131124,891024,232268,12829,24633,222984,29,42,2221,40136,5539,912,564533
20131127,891590,232384,12829,24664,223060,29,42,2221,40135,5539,912,564666
20131130,891729,232464,12827,24695,222970,29,42,2221,40135,5805,912,564589
20131203,894084,233158,12827,24725,223642,29,42,2221,40155,5805,912,566066
20131206,898104,233701,12827,24727,224200,29,42,2215,41853,5805,912,567829
20131209,898622,233807,12841,24764,224359,29,42,2217,41908,5805,912,568065
20131212,898789,233517,12841,24775,224191,29,42,2217,41929,5808,912,568144
20131215,896771,233210,12843,24770,224102,29,42,324,41939,5808,912,568097
20131218,899183,233401,12851,24797,224573,29,42,324,41973,5817,912,569884
20131221,901325,233857,12862,24835,224927,29,42,324,42267,5838,912,571280
20131224,902363,233909,12880,24835,224976,29,42,324,42274,5838,912,572239
20131227,904525,234146,12874,24844,225332,29,42,324,43331,5838,912,572988
20131230,904576,234183,12874,24844,225415,29,42,324,43331,5838,912,572913
20140102,904977,234272,12896,24844,225521,29,42,324,43094,5838,912,573426
20140105,905659,234377,12896,24844,225676,29,42,324,43113,5923,912,573484
20140108,906165,234519,12892,24842,225733,29,42,324,43145,5923,912,573837
20140111,899715,232959,13189,24860,224920,29,212,127,53981,4520,992,559348
20140114,900528,233289,13189,24867,224992,29,212,127,54177,4520,992,559855
20140117,899237,232629,13189,24870,224007,29,212,127,54265,4520,992,559514
20140120,894614,231362,13189,24864,223382,29,212,127,54594,4518,992,555860
20140123,890433,229701,13189,24827,222091,29,212,127,54634,4518,992,553038
20140126,888028,229034,13197,24778,221587,29,212,127,54648,4518,992,551205
20140129,888486,229003,13199,24775,221579,29,212,127,54679,4545,992,551609
20140201,888642,229229,13199,24835,221617,29,212,127,54832,4636,992,551397
20140204,883831,227803,12463,24757,220609,29,212,127,54889,4636,992,548377
20140207,881920,227537,12574,24589,219927,29,212,127,54958,4636,992,547164
20140210,881550,227514,12574,24589,219872,29,212,127,54871,4636,992,546939
20140213,883593,227713,12579,24627,220169,29,212,177,55097,4822,992,548087
20140216,883724,227758,12579,24577,220150,29,212,177,55237,4873,992,548100
20140219,883057,227559,12580,24578,219662,29,212,177,55266,4893,992,547989
20140222,885067,227866,12376,24580,219913,29,212,177,55393,4972,992,549731
20140225,884978,227775,12376,24580,219861,29,212,177,55485,4963,992,549633
20140228,885668,227901,12387,24584,220039,29,212,177,55623,4976,992,549970
20140303,888084,228630,12384,24585,220818,29,212,177,55688,4976,992,551516
20140306,888316,228755,12386,24540,220931,29,212,177,55849,4985,992,551505
20140309,888574,228725,12382,24609,221008,29,212,177,55931,4985,992,551530
20140312,885051,228211,12382,24609,220421,29,212,254,55999,4993,992,548438
20140315,887031,228352,12520,24609,220671,29,212,254,56131,4994,992,549897
20140318,887910,228473,12520,24611,221083,29,212,254,56101,4994,1002,550341
20140321,889789,229026,12515,24619,221586,29,212,337,56236,5016,1003,551455
20140324,890020,229171,12511,24624,221553,29,212,337,56289,5016,1003,551659
20140327,881478,229256,12523,24629,221645,29,212,337,56502,5016,1003,550919
20140330,882110,229429,12510,24634,221971,29,212,342,56499,5016,1003,551230
20140402,880348,228561,12514,24636,222276,29,212,342,56621,3005,1003,551040
20140405,880721,228537,12531,24640,222121,29,212,342,56986,3014,1003,551175
20140408,882135,229820,12482,24637,223962,29,212,342,56978,3014,1003,551009
20140411,882201,229905,12484,24677,224172,29,212,342,57262,2875,274,551507
20140414,882566,229931,12452,24677,224211,29,212,342,57345,2875,274,551782
20140417,883525,230190,12458,24670,224290,29,212,342,57388,2875,274,552619
20140420,882776,229858,12452,24602,224121,29,212,342,57393,2875,274,552120
20140423,884161,230370,12453,24613,224407,29,212,342,57691,2861,274,552921
20140426,884606,230523,12466,24615,224572,29,212,342,57802,2895,274,553036
20140429,884931,230747,12469,24621,224670,29,212,342,57863,2895,274,553187
20140502,883236,230582,12469,24621,224403,29,212,342,56980,2896,274,552633
20140505,883358,230581,12469,24621,224435,29,212,342,56960,2908,274,552723
