path,file,count
Source/WebCore/dom,Document.cpp,348
Source/WebCore/page,FrameView.cpp,252
Source/WebCore/rendering,RenderBlock.cpp,251
Source/WebCore/html,HTMLMediaElement.cpp,244
Source/WebCore/rendering,RenderLayer.cpp,217
Source/WebKit2/WebProcess/WebPage,WebPage.cpp,207
Source/WebCore/dom,Element.cpp,204
Source/WebCore/css,StyleResolver.cpp,202
Source/WebCore/css,CSSParser.cpp,178
Source/WebCore/rendering,RenderBox.cpp,175
Source/WebCore/rendering,RenderBlockLineLayout.cpp,173
Source/WebCore/dom,Document.h,165
Source/WebCore/rendering,RenderObject.cpp,159
Source/WebCore/rendering,RenderLayerCompositor.cpp,159
Source/WebCore/rendering,RenderLayerBacking.cpp,155
Source/WTF/wtf,Platform.h,151
Source/WebCore/testing,Internals.cpp,143
Source/WebCore/dom,Element.h,142
Source/WebCore/page,Page.cpp,138
Source/WebCore/dom,Node.cpp,137
Source/WebCore/rendering,RenderBlock.h,136
Source/WebCore/css,CSSComputedStyleDeclaration.cpp,135
Source/WebCore/rendering,RenderObject.h,130
Source/WebCore/accessibility,AccessibilityRenderObject.cpp,129
Source/WebCore/loader,FrameLoader.cpp,126
Source/WebCore/html,HTMLMediaElement.h,124
Source/WebKit/mac/WebView,WebView.mm,121
Source/WebCore/page,EventHandler.cpp,119
Source/WebCore/editing,Editor.cpp,115
Source/WebCore/dom,Node.h,108
Source/WebCore/rendering,RenderView.cpp,106
Source/WebCore/rendering,RenderBoxModelObject.cpp,106
Source/WebCore/page,FrameView.h,101
Source/WebCore/page,Frame.cpp,101
Source/WebCore/platform/graphics/avfoundation/objc,MediaPlayerPrivateAVFoundationObjC.mm,100
Source/WebCore/rendering,RenderBlockFlow.cpp,98
Source/WebCore/page,Page.h,98
Source/WebKit2/UIProcess/efl,WebView.cpp,89
Source/WebCore/accessibility,AccessibilityNodeObject.cpp,89
Source/WebCore/page,DOMWindow.cpp,88
Source/WebCore/rendering,RenderFlowThread.cpp,88
Source/WebCore/html,HTMLPlugInImageElement.cpp,87
Source/WebCore/rendering/style,RenderStyle.h,87
Source/WebCore/css,DeprecatedStyleBuilder.cpp,84
Tools/DumpRenderTree/atk,AccessibilityUIElementAtk.cpp,84
Source/WebCore/rendering,RenderElement.cpp,84
Source/WebKit2/WebProcess/WebPage,WebPage.h,84
Source/WebCore/css,StyleResolveTree.cpp,83
Source/WebCore/bindings/scripts/test/JS,JSTestObj.cpp,83
Source/WebCore/editing,FrameSelection.cpp,79
Source/WebCore/html/canvas,WebGLRenderingContext.cpp,78
Source/WebCore/rendering,RenderRegion.cpp,78
Source/WebCore/rendering,RenderBox.h,77
Source/WebCore/accessibility,AccessibilityObject.cpp,77
Source/WebCore/rendering,InlineTextBox.cpp,76
Source/WebCore/rendering,RenderBlockFlow.h,76
Source/WTF/wtf,FeatureDefines.h,76
Source/WebCore/accessibility/mac,WebAccessibilityObjectWrapperMac.mm,75
Source/WebCore/rendering,RenderLayer.h,75
Source/WebCore/rendering,RenderText.cpp,74
Source/WebCore/platform/graphics/ca,GraphicsLayerCA.cpp,74
Source/WebKit2/UIProcess,WebPageProxy.h,74
Source/WebCore/plugins,PluginView.cpp,71
Source/WTF/wtf/text,StringImpl.h,70
Source/WebCore/rendering,RenderFlowThread.h,70
Source/WebCore/rendering/style,RenderStyle.cpp,69
Source/WebCore/html,HTMLInputElement.cpp,69
Source/WebKit2/WebProcess/WebCoreSupport,WebChromeClient.h,69
Source/WebCore/rendering,RenderInline.cpp,68
Source/WebCore/svg,SVGElement.cpp,67
Source/WebCore/bindings/scripts/test/JS,JSTestTypedefs.cpp,67
Source/WebKit2/UIProcess,WebPageProxy.cpp,67
Source/WebCore/rendering,RenderView.h,67
Source/WebCore/dom,ContainerNode.cpp,66
Source/WebCore/bindings/scripts/test/JS,JSTestInterface.cpp,66
Source/WebCore/page,DragController.cpp,65
Source/WebCore/html/shadow,MediaControlElements.cpp,65
Source/WebKit2/WebProcess/WebCoreSupport,WebFrameLoaderClient.cpp,64
Source/WebCore/editing,markup.cpp,63
Source/WebCore/rendering,RenderRegion.h,62
Source/WebCore/rendering,RenderEmbeddedObject.cpp,62
Source/WebCore/html,HTMLCanvasElement.cpp,62
Source/WebCore/inspector,InspectorDOMAgent.cpp,61
Source/WebCore/rendering,RootInlineBox.cpp,60
Source/WebCore/rendering,RenderElement.h,60
Source/WebCore/xml,XMLHttpRequest.cpp,60
Source/WebCore/html,HTMLSelectElement.cpp,60
Source/WebCore/html,HTMLObjectElement.cpp,59
Source/WebCore/html,HTMLElement.cpp,58
Source/WebCore/bindings/scripts/test/JS,JSTestSerializedScriptValueInterface.cpp,58
Source/WebCore/rendering,RenderText.h,58
Source/WebCore/rendering,RenderGrid.cpp,58
Source/WebCore/rendering,RenderLayerCompositor.h,57
Source/WebCore/bindings/scripts/test/JS,JSTestEventTarget.cpp,57
Source/WebCore/page,ChromeClient.h,56
Source/WebCore/bindings/scripts/test/JS,JSTestActiveDOMObject.cpp,56
Source/WebCore/bindings/scripts/test/JS,JSTestMediaQueryListListener.cpp,56
Source/WebCore/bindings/js,JSDOMBinding.h,56
Source/WebCore/inspector,InspectorPageAgent.cpp,56
Source/WebKit/mac/WebCoreSupport,WebFrameLoaderClient.mm,55
Source/WebCore/editing,EditingStyle.cpp,55
Source/WebCore/loader,DocumentLoader.cpp,55
Source/WebCore/platform/graphics,MediaPlayer.cpp,55
Source/WebCore/bindings/scripts/test/JS,JSTestException.cpp,55
Source/WebCore/bindings/scripts/test/JS,JSTestEventConstructor.cpp,55
Source/WebCore/svg,SVGElement.h,54
Source/WebCore/editing,ApplyStyleCommand.cpp,54
Source/WebCore/platform/graphics/gstreamer,MediaPlayerPrivateGStreamer.cpp,54
Source/WebCore/platform/mac,HTMLConverter.mm,54
Source/WebCore/bindings/scripts/test/JS,JSTestCustomNamedGetter.cpp,54
Source/WebKit/win/WebCoreSupport,WebChromeClient.cpp,54
Source/WebCore/css,StyleResolver.h,54
Source/WebCore/accessibility,AccessibilityObject.h,53
Source/WebCore/testing,Internals.idl,53
Source/WebCore/editing,TextIterator.cpp,53
Source/WebCore/inspector,InspectorInstrumentation.cpp,53
Source/WebCore/html,HTMLImageElement.cpp,53
Source/WebCore/css,CSSParser.h,53
Source/WebCore/inspector,InspectorController.cpp,53
Source/WebCore/rendering,RenderLayerBacking.h,53
Source/WebCore/page,Settings.cpp,53
Source/WebCore/page/animation,CSSPropertyAnimation.cpp,52
Source/WebCore/rendering,RenderNamedFlowThread.cpp,52
Source/WebCore/rendering,RenderImage.cpp,51
Source/WebCore/rendering,RenderTreeAsText.cpp,50
Source/WebKit/efl/ewk,ewk_view.cpp,50
Source/WTF/wtf/text,StringImpl.cpp,50
Source/WebCore/testing,Internals.h,50
Source/WebCore/bindings/scripts/test/JS,JSTestNamedConstructor.cpp,50
Source/WebKit2/WebProcess/WebPage,WebFrame.cpp,49
Source/WebKit/mac/WebCoreSupport,WebFrameLoaderClient.h,49
Source/WebCore/platform/graphics/cg,GraphicsContextCG.cpp,48
Source/WebCore/platform/graphics/avfoundation/cf,MediaPlayerPrivateAVFoundationCF.cpp,48
Source/WebCore/rendering,RenderBoxModelObject.h,48
Source/WebCore/dom,ContainerNode.h,48
Source/WebCore/bindings/scripts/test/JS,JSTestOverloadedConstructors.cpp,48
Source/WebCore/inspector,InspectorInstrumentation.h,48
Source/WebCore/rendering,InlineFlowBox.cpp,48
Source/WebCore/platform/graphics,MediaPlayer.h,48
Source/WebKit2/WebProcess/WebPage,EventDispatcher.cpp,47
Source/WebKit/mac/WebView,WebFrame.mm,47
Source/WebCore/platform/graphics/avfoundation/objc,MediaPlayerPrivateAVFoundationObjC.h,47
Source/WebCore/page,ContextMenuController.cpp,47
Source/WebCore/html,HTMLFormElement.cpp,47
Source/JavaScriptCore/runtime,JSGlobalObject.cpp,47
Source/WebKit/mac/WebView,WebHTMLView.mm,47
Source/WebCore/rendering,RenderListBox.cpp,47
Source/WebCore/rendering,RenderTable.cpp,47
Source/WebCore/html/canvas,CanvasRenderingContext2D.cpp,46
Source/WebCore/platform/graphics/ca/mac,TileController.mm,46
Source/WebCore/rendering,RenderTableSection.cpp,46
Source/WebCore/inspector,InspectorOverlay.cpp,46
Source/WebCore/rendering,RenderMultiColumnSet.cpp,46
Source/WebCore/accessibility/atk,WebKitAccessibleWrapperAtk.cpp,45
Source/WebCore/accessibility/ios,WebAccessibilityObjectWrapperIOS.mm,45
Source/WebCore/html,HTMLFormControlElement.cpp,45
Source/WebCore/accessibility,AXObjectCache.cpp,44
Source/WebCore/rendering/svg,RenderSVGRoot.cpp,44
Source/WebCore/platform/graphics/ca,GraphicsLayerCA.h,44
Source/WebCore/platform,ScrollView.cpp,44
Source/WebCore/html,HTMLTextFormControlElement.cpp,44
Source/WebCore/editing,htmlediting.cpp,44
Source/WebCore/bindings/js,JSDOMWindowCustom.cpp,44
Source/WebCore/page,FocusController.cpp,44
Source/WebCore/platform,Pasteboard.h,43
Source/WebCore/rendering/mathml,RenderMathMLOperator.cpp,43
Source/WebCore/inspector,InspectorCSSAgent.cpp,43
Source/WebCore/page,Frame.h,43
Source/WebCore/loader/cache,CachedResourceLoader.cpp,43
Source/WebCore/editing,VisibleUnits.cpp,43
Source/WTF/wtf,Vector.h,42
Source/WebCore/page,DOMWindow.idl,42
Source/WebCore/inspector,InspectorDebuggerAgent.cpp,42
Source/WebCore/svg/graphics,SVGImage.cpp,42
Source/WebCore/bindings/js,JSDOMBinding.cpp,42
Source/WebKit/gtk/webkit,webkitwebview.cpp,42
Source/WebCore/platform/graphics,GraphicsContext.h,42
Source/WebCore/rendering,InlineFlowBox.h,42
Source/WebCore/rendering,RenderThemeMac.mm,42
Source/WebCore/editing,Editor.h,42
Source/WebCore/editing/mac,EditorMac.mm,42
Source/WebCore/inspector,InspectorResourceAgent.cpp,41
Source/WebCore/html,HTMLInputElement.h,41
Source/WebCore/dom,Clipboard.h,41
Source/WebCore/loader,EmptyClients.h,41
Source/WebCore/css,CSSValue.cpp,40
Source/WebCore/platform/network/soup,ResourceHandleSoup.cpp,40
Source/WebCore/rendering,RenderDeprecatedFlexibleBox.cpp,39
Source/WebCore/svg,SVGSVGElement.cpp,39
Source/JavaScriptCore/interpreter,Interpreter.cpp,39
Source/WebCore/rendering/shapes,Shape.cpp,39
Source/WebCore/editing,CompositeEditCommand.cpp,39
Source/WebCore/bindings/scripts/test/JS,JSattribute.cpp,39
Source/WebCore/rendering,RenderMultiColumnSet.h,39
Source/WebCore,DerivedSources.cpp,39
Source/WebCore/html,HTMLPlugInImageElement.h,39
Source/WebCore/xml/parser,XMLDocumentParserLibxml2.cpp,39
Source/WebCore/platform/graphics,GraphicsContext3D.h,39
Source/WebCore/rendering,RenderNamedFlowThread.h,38
Source/WebCore/loader,SubframeLoader.cpp,38
Source/WebCore/loader,FrameLoader.h,38
Source/WebCore/html,HTMLImageElement.h,38
Source/WebCore/rendering,RenderMenuList.cpp,38
Source/WebCore/css,SelectorChecker.cpp,38
Source/WebCore/platform/mac,PasteboardMac.mm,38
Source/WebCore/dom,Clipboard.cpp,38
Source/WebCore/inspector,InspectorProfilerAgent.cpp,38
